,,12/31/24,Outbound Calls,,,,,Inbound Calls,,,,,Revenue,,,,,,,,,,,CAC,,,,Single Jobs,,,,,,,,,,,,,,GBA,,,,,,,SOLD ESTIMATES,,,MANPOWER,,,,,,SOLD HOURS,,,,,,,,,,,,,,,SJ<$100,,,,,,,Recalls,,,,,,,SJ Repair %,,,,,,,SJ Repair Avg$$,,,,,,,Opportunity TO %,,,,,,,TO Conversion %,,,,,,,Conversion $AVG,,,,,,,SJ MKTEstimates,,,,,,SJ MKTE Conv %,,,,,,,SJ MKTE Conv $,,,,,,,Airflow PRJ MIX %,,,,,,,AF PRJ AVG $,,,,,,Equip MIX %,,,,,,,Equip AVG $,,,,,,,SVC PRJ %,,,,,,,SVC PRJ AVG $,,,,,,,Tech Count,,,,,Sales Tech Count,,,,,Installers Count,,,,,Techs Term,,,,,Sales Techs Term,,,,,Installer Term,,,,,Clubs,,,,,NPS,,,,
,,,,,,,,,,,,,New Cust,NCust  Trend,Repeat Cust,RCust  Trend,Demand,Maint,Estimates,Projects,TOTAL,PACE,Rev Trend,MKT Exp,ROAS,CAC,CAC Trend,New Cust,NCust  Trend,New Cust IB,New Cust OB,R Cust OB,R Cust IB,R Cust IB PACE,R IB Trend,Repeat Cust,Demand,Maint,Total,PACE,SJ Trend,New Cust GBA,R Cust GBA,Demand GBA,Maint GBA,ACTUAL GBA,PACE GBA,GBA Trend,ACTUAL,PACE,TREND,SJ Qty,Svc Avg,Svc PJ Qty,Svc Prj Avg,Repl Pj Qty,Installer Avg,SJ SVC Sold Hours,SJ SVC REV Sold Hrs,SJ SVC Worked Hrs,SJ SVC REV Worked Hrs,PJ SVC Sold Hours,PJ SVC REV Sold Hrs,PJ SVC Worked Hrs,PJ SVC REV Worked Hrs,REPL Sold Hours,REPL REV Sold Hrs,REPL Worked Hours,REPL REV Worked Hrs,Total Sold Hrs,,,New Cust,Repeat Cust,,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,,,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Estimates,Total,PACE,Est Trend,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maintenance,Estimates,Total,New Cust,Repeat Cust,Total AVG  $,COUNT PRJ NEW,COUNT PRJ REPEAT,TOTAL PRJ,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Maint,Estimates,New Cust,Repeat Cust,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Maint,Estimates,New Cust,Repeat Cust,Demand,Maint,Estimates,New Cust,Repeat Cust,NPS,,
,TOTAL,2024,,,,,,,,,,,"$5,619,029",107.6%,"$14,582,228",93.5%,"$333,124","$670,244","$10,242","$19,187,646","$20,201,257","$20,201,257",97.0%,"$1,212,075","12,415",453,55.3%,"2,678",175.3%,"2,676",2,418,"9,254","9,254",88.8%,"9,672","3,988","8,362","12,350","12,350",98.4%,"$2,098","$1,508",$84,$80,"$1,524","$1,524",111.5%,"$20,005,661","$20,005,661",93.9%,473,3,60,0,81,3,"1,743.8",,"14,666.2",,"1,086.7",,"1,223.1",,"31,003.3",,"26,934.0",,"33,833.8",#DIV/0!,,"2,307","8,632",0,"3,402","7,537",0,"10,939",84,933,0,1017,0,0,1017,12.72%,10.58%,,11.61%,9.63%,,10.79%,$469.22,$550.64,,$524.97,$584.73,,$544.98,65.86%,51.05%,,42.19%,58.41%,,54.14%,15.00%,19.09%,,23.83%,16.13%,,17.86%,"$18,116.84","$13,399.97",,"$14,542.40","$14,438.13",,"$14,322.30",606,301,907,907,907,33.8%,11.12%,15.26%,,,,10.58%,10.58%,"$22,526.26","$17,891.96",,,,"$19,588.15","$19,588.15",77.15%,83.85%,81.42%,,,,,"$11,704.69","$10,341.39","$10,665.42",,,,20.92%,12.47%,15.28%,,,,,"$11,863","$12,348","$12,370",,,,,0.55%,2.80%,,,,,3.31%,"$2,447","$2,188","$2,229",,,,"$2,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,2023,,,,,,,,,,,"$5,224,449",,"$15,600,950",,"$556,961","$912,015","$40,876","$19,315,547","$20,825,399","$20,825,399",,"$1,249,524","6,389",818,,"1,528",,"1,525",3,604,"10,419","10,419",,"11,023","4,450","8,101","12,551","12,551",,"$3,419","$1,415",$125,$113,"$1,367","$1,367",,"$21,298,424","$21,298,424",,544,1,181,1,61,3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,"1,139","8,468",0,"3,417","6,190",,"9,607",23,138,,161,0,0,161,23.48%,22.17%,,21.38%,22.77%,,22.38%,$606,$469,,$634,$408,,$481,40.35%,30.50%,,15.96%,40.03%,,31.46%,23.46%,23.35%,,28.00%,22.79%,,23.57%,"$18,288","$11,478",,"$10,428","$13,219",,"$12,297",1766,917,2683,2683,"2,683",,14.38%,15.13%,,,,14.72%,14.72%,"$16,519","$15,784",,,,"$16,197","$16,197",53.96%,62.03%,60.06%,,,,,"$22,042","$12,384","$13,730",,,,44.83%,35.58%,37.89%,,,,,"$12,945","$12,128","$12,362",,,,,0.34%,1.78%,,,,,2.07%,"$2,499","$1,107","$1,202",#DIV/0!,#DIV/0!,#DIV/0!,"$1,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Region,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,New Cust,NCust  Trend,Repeat Cust,RCust  Trend,Demand,Maint,Estimates,Projects,TOTAL,PACE,Rev Trend,MKT Exp,ROAS,CAC,CAC Trend,New Cust,NCust  Trend,New Cust IB,New Cust OB,R Cust OB,R Cust IB,PACE,NCust  Trend,Repeat Cust,Demand,Maint,Total,PACE,SJ Trend,New Cust GBA,R Cust GBA,Demand GBA,Maint GBA,ACTUAL GBA,PACE GBA,GBA Trend,TOTAL,PACE,Rev Trend,SJ Qty,Svc Avg,Svc PJ Qty,Svc Prj Avg,Repl Pj Qty,Installer Avg,SJ SVC Sold Hours,SJ SVC REV Sold Hrs,SJ SVC Worked Hrs,SJ SVC REV Worked Hrs,PJ SVC Sold Hours,PJ SVC REV Sold Hrs,PJ SVC Worked Hrs,PJ SVC REV Worked Hrs,REPL Sold Hours,REPL REV Sold Hrs,REPL Worked Hours,REPL REV Workedd Hrs,Total Sold Hrs,,,New Cust,Repeat Cust,,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,,,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Total,Demand,Maint,,Total,New Cust,Repeat Cust,Estimates,Total,PACE,Est Trend,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maintenance,Estimates,Total,New Cust,Repeat Cust,Total AVG  $,COUNT PRJ NEW,COUNT PRJ REPEAT,TOTAL PRJ,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Demand,Maint,Estimates,Total,New Cust,Repeat Cust,Total,Maint,Estimates,New Cust,Repeat Cust,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Maint,Estimates,New Cust,Repeat Cust,Demand,Maint,Estimates,New Cust,Repeat Cust,NPS,Maint,Estimates
,TOTAL,"December, 2024",,,,,,,,,,,"$144,670",60.8%,"$926,247",85.2%,"$5,016","$8,862",$0,"$1,057,039","$1,070,917","$1,070,917",80.8%,"$64,255",198,730,93.6%,88,86.3%,88,0,2,608,608,100.2%,610,277,421,698,698,88.7%,"$1,644","$1,518",$18,$21,"$1,463","$1,463",95.2%,"$1,120,000","$1,120,000",67.0%,26,3,6,0,5,0,51.5,$269.47,264.9,$52.39,115.5,$49.82,79.9,$71.99,"1,721.3",$227.26,"1,416.1",$276.24,"1,888.3",,,83,576,,256,403,0,659,0,76,0,76,0,0,76,5.68%,5.25%,6.09%,6.86%,4.28%,,5.30%,$289,$597,$36,$470,$659,$0,$557,92.05%,63.11%,76.64%,59.21%,71.73%,,66.76%,9.88%,14.81%,13.95%,18.29%,11.59%,,13.95%,"$17,668","$14,096","$14,536","$11,878","$16,814",,"$14,536",17,17,34,34,34,44.7%,0.00%,11.76%,5.88%,,,5.88%,5.88%,$0,"$6,456","$6,456",,,"$6,456","$6,456",96.09%,88.01%,89.11%,,,,,"$10,580","$9,463","$9,611",13,85,98,2.65%,5.96%,5.51%,,,,5.51%,"$3,800","$9,077","$8,323",,,,"$8,322.71",0.17%,5.21%,5.38%,,,,5.38%,$895,"$1,377","$1,354",,,,"$1,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,"November, 2024",,,,,,,,,,,"$446,260",179.3%,"$766,658",108.2%,"$5,518","$5,194",$0,"$1,202,206","$1,212,918","$1,212,918",126.7%,"$72,775",650,687,168.5%,106,75.2%,106,0,0,626,626,137.6%,626,300,432,732,732,121.0%,"$4,210","$1,225",$18,$12,"$1,577","$1,577",113.2%,"$1,210,680","$1,210,680",116.3%,27,0,6,0,6,0,50.5,$212.11,309.3,$34.63,117.8,$102.02,92.9,$129.27,"1,937.3",$280.20,"1,795.5",$302.31,"2,105.5",,,98,596,,277,417,,694,3,58,0,61,,,61,7.55%,4.47%,5.75%,7.00%,3.47%,,4.92%,$915,$561,$39,$543,$776,$0,$635,81.13%,64.54%,78.27%,56.33%,74.31%,,66.94%,29.07%,16.34%,18.57%,20.12%,17.76%,,18.57%,"$18,016","$10,173","$12,327","$12,939","$11,963",,"$12,327",25,12,37,37,37,45.1%,8.00%,8.33%,8.11%,,,8.11%,8.11%,"$13,258","$18,032","$14,849",,,"$14,849","$14,849",84.20%,91.37%,88.72%,,,,,"$11,001","$7,695","$8,602",34,90,124,11.99%,2.47%,5.99%,,,,5.99%,"$13,322","$9,367","$12,003",,,,"$12,003.33",1.41%,3.88%,5.29%,,,,5.29%,"$2,821","$1,372","$1,589",,,,"$1,589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,"October, 2024",,,,,,,,,,,"$178,842",74.2%,"$1,053,087",133.3%,"$9,253","$19,002",$0,"$1,203,674","$1,231,929","$1,231,929",119.5%,"$73,916",169,1056,90.5%,70,132.1%,70,0,2,788,788,128.8%,790,229,631,860,860,119.9%,"$2,555","$1,333",$40,$30,"$1,370","$1,370",110.3%,"$1,249,012","$1,249,012",123.4%,32,0,6,0,6,0,56.6,$498.85,499.2,$56.60,133.3,$254.84,98.6,$344.51,"2,037.5",$203.41,"1,742.0",$237.92,"2,227.4",,,60,752,,214,598,,812,0,68,0,68,,,68,12.86%,4.56%,5.71%,6.11%,4.91%,,5.23%,$461,$663,$38,$569,$645,$0,$621,81.43%,69.11%,76.52%,37.99%,81.77%,,70.12%,10.53%,14.10%,13.76%,26.44%,11.63%,,13.76%,"$20,629","$11,559","$12,214","$11,423","$12,518",,"$12,214",18,21,39,39,39,34.5%,16.67%,14.29%,15.38%,,,15.38%,15.38%,"$26,432","$27,295","$26,863",,,"$26,863","$26,863",84.72%,85.13%,85.07%,,,,,"$10,495","$8,515","$8,752",14,103,117,9.97%,8.74%,8.92%,,,,8.92%,"$17,295","$9,008","$9,761",,,,"$9,761.36",0.76%,5.24%,6.01%,,,,6.01%,"$3,066","$2,036","$2,127",,,,"$2,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,"September, 2024",,,,,,,,,,,"$162,514",67.9%,"$893,500",102.2%,"$15,121","$50,528",$0,"$990,365","$1,056,014","$1,056,014",94.8%,"$63,361",190,856,55.1%,74,172.1%,74,0,3,729,729,102.8%,732,227,579,806,806,103.9%,"$2,196","$1,221",$67,$87,"$1,254","$1,254",100.0%,"$1,007,483","$1,007,483",80.9%,30,0,6,0,6,0,98.0,$669.89,864.3,$75.96,88.0,$187.39,118.6,$138.99,"1,622.8",$184.86,"1,548.1",$193.78,"1,808.8",,,70,670,,208,532,,740,1,71,0,72,,,72,5.41%,8.06%,8.64%,7.49%,7.94%,,7.82%,$231,$796,$69,$738,$772,$0,$762,62.16%,61.48%,68.04%,42.73%,68.91%,,61.54%,10.87%,13.33%,13.10%,16.49%,12.28%,,13.10%,"$24,280","$13,209","$14,061","$11,047","$15,045",,"$14,061",24,12,36,36,36,32.1%,8.33%,0.00%,5.56%,,,5.56%,5.56%,"$22,500",$0,"$22,500",,,"$22,500","$22,500",85.08%,86.76%,86.49%,,,,,"$9,715","$8,787","$8,922",14,82,96,14.92%,8.36%,9.42%,,,,9.42%,"$7,954","$9,913","$9,325",,,,"$9,325.30",0.00%,4.10%,4.10%,,,,4.10%,$0,"$1,561","$1,561",,,,"$1,561",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,"August, 2024",,,,,,,,,,,"$136,174",37.2%,"$1,270,934",73.0%,"$23,491","$48,043",$0,"$1,335,575","$1,407,108","$1,407,108",66.8%,"$84,426",169,804,59.2%,105,112.9%,105,0,13,"1,097","1,097",91.6%,"1,110",387,828,"1,215","1,215",92.9%,"$1,297","$1,145",$61,$58,"$1,084","$1,084",79.8%,"$1,428,750","$1,428,750",82.1%,46,0,5,0,7,0,174.8,$409.35,"2,004.1",$35.69,92.8,$91.18,118.0,$71.65,"2,298.5",$228.30,"2,026.5",$258.95,"2,566.0",,,80,990,,327,743,0,"1,070",2,124,0,126,0,0,126,21.90%,10.72%,12.94%,14.73%,10.27%,,11.69%,$324,$534,$66,$423,$551,$0,$498,63.81%,47.84%,54.51%,44.96%,51.21%,,49.22%,5.97%,15.82%,14.72%,17.82%,13.44%,,14.72%,"$12,336","$13,955","$13,881","$15,444","$13,031",,"$13,881",53,30,83,83,83,34.2%,5.66%,0.00%,3.61%,,,3.61%,3.61%,"$24,708",$0,"$24,708",,,"$24,708","$24,708",96.60%,86.57%,87.51%,,,,,"$8,687","$8,874","$8,854",14,118,132,3.02%,9.52%,8.91%,,,,8.91%,"$3,808","$12,797","$11,898",,,,"$11,897.90",0.04%,3.54%,3.58%,,,,3.58%,$479,"$2,784","$2,656",,,,"$2,656",,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,"July, 2024",,,,,,,,,,,"$992,971",107.8%,"$1,592,216",123.4%,"$78,636","$62,084",$79,"$2,444,388","$2,585,187","$2,585,187",116.9%,"$155,111","2,407",413,49.4%,376,236.5%,376,0,1,965,965,116.3%,966,748,594,"1,342","1,342",132.9%,"$2,641","$1,648",$105,$105,"$1,756","$1,756",100.9%,"$2,467,472","$2,467,472",95.7%,53,1,8,0,9,0,283.1,$497.44,"1,963.2",$71.72,123.3,$173.74,175.7,$121.91,"3,812.0",$195.89,"3,691.2",$202.30,"4,218.3",,,300,808,,580,528,0,"1,108",22,117,0,139,0,0,139,20.21%,15.94%,23.83%,22.06%,10.94%,,17.14%,$492,$466,$115,$459,$512,$0,$474,86.17%,47.52%,81.14%,60.70%,55.39%,,58.35%,10.80%,18.08%,15.07%,17.18%,12.16%,,15.07%,"$19,321","$14,572","$15,980","$15,439","$17,037",,"$15,980",93,37,130,130,130,50.0%,12.90%,13.51%,13.08%,,,13.08%,13.08%,"$23,377","$20,674","$22,582",,,"$22,582","$22,582",52.84%,68.99%,62.87%,,,,,"$13,992","$10,906","$11,731",35,96,131,45.83%,28.51%,35.08%,,,,35.08%,"$12,494","$13,521","$12,992",,,,"$12,991.50",0.51%,1.55%,2.05%,,,,2.05%,"$3,089","$2,912","$2,954",,,,"$2,954",,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
